   	   	   	   	   	   	  	@ 	#   	monitoringRefs 	isTerminus 	slugName                              	displayName                             	prevStops                             	nextStops                                                  	lineConnections
|  	   	   	*  	   	   	| 	@ 	 39 	         41211 	         0 	javel                                 	Javel                                   	pont-du-garigliano                    	champ-de-mars-tour-eiffel                                  	metro-10/javel-andre-citroen
|  	   	   	|  	.\ 	   	| 	@ 	 40 	               	           	                                      	                                        	                                      	                                                           	
|  	   	   	\o 	|  	|  	| 	@ 	 41 	               	           	                                      	                                        	                                      	                                                           	
|  	   	   	   	   	\. 	| 	@ 	 42 	               	           	                                      	                                        	                                      	                                                           	
|  	   	   	   	   	   	* 	@ 	 43 	         41210 	         0 	champ-de-mars-tour-eiffel             	Champ de Mars – Tour Eiffel             	javel;avenue-du-president-kennedy     	pont-de-l-alma                                             	metro-6/bir-hakeim
|  	   	   	   	   	   	* 	@ 	 44 	         41209 	         1 	pont-de-l-alma                        	Pont de l'Alma                          	champ-de-mars-tour-eiffel             	invalides                                                  	metro-9/alma-marceau
|  	   	   	   	   	   	* 	@ 	 45 	         41208 	         1 	invalides                             	Invalides                               	pont-de-l-alma                        	musee-d-orsay                                              	metro-8;metro-13
|  	   	   	   	   	   	* 	@ 	 46 	         41334 	         1 	musee-d-orsay                         	Musée d'Orsay                           	invalides                             	saint-michel-notre-dame                                    	metro-12/solferino
|  	   	   	   	   	   	* 	@ 	 47 	        412816 	         0 	saint-michel-notre-dame               	Saint-Michel – Notre-Dame               	musee-d-orsay                         	paris-austerlitz                                           	metro-4/saint-michel;metro-10/cluny-la-sorbonne;rer-b
|  	   	   	   	   	   	* 	@ 	 48 	         41333 	         1 	paris-austerlitz                      	Paris–Austerlitz                        	saint-michel-notre-dame               	bibliotheque-francois-mitterrand                           	metro-5/gare-d-austerlitz;metro-10/gare-d-austerlitz
|  	   	   	   	   	   	* 	@ 	 49 	         41128 	         1 	bibliotheque-francois-mitterrand      	Bibliothèque François-Mitterrand        	paris-austerlitz                      	ivry-sur-seine                                             	metro-14;tramway-3a/avenue-de-france
|  	   	   	   	   	   	* 	@ 	 50 	         41315 	         0 	ivry-sur-seine                        	Ivry-sur-Seine                          	bibliotheque-francois-mitterrand      	vitry-sur-seine                                            	metro-7/mairie-d-ivry
|  	   	   	   	   	   	* 	@ 	 51 	         41314 	         0 	vitry-sur-seine                       	Vitry-sur-Seine                         	ivry-sur-seine                        	les-ardoines                                               	
|  	   	   	   	   	   	* 	@ 	 52 	         41291 	         0 	les-ardoines                          	Les Ardoines                            	vitry-sur-seine                       	choisy-le-roi                                              	
|  	   	   	   	   	   	| 	@ 	 53 	               	           	                                      	                                        	                                      	                                                           	
*  	   	   	   	   	   	| 	@ 	 54 	         41239 	         0 	petit-jouy-les-loges                  	Petit Jouy – Les Loges                  	versailles-chantiers                  	jouy-en-josas                                              	
*  	   	   	   	   	   	| 	@ 	 55 	         41240 	         0 	jouy-en-josas                         	Jouy-en-Josas                           	petit-jouy-les-loges                  	vauboyen                                                   	
*  	   	   	   	   	   	| 	@ 	 56 	         41241 	         0 	vauboyen                              	Vauboyen                                	jouy-en-josas                         	bievres                                                    	
*  	   	   	   	   	   	| 	@ 	 57 	         41242 	         0 	bievres                               	Bièvres                                 	vauboyen                              	igny                                                       	
*  	   	   	   	   	   	| 	@ 	 58 	         41243 	         0 	igny                                  	Igny                                    	bievres                               	massy-palaiseau                                            	
|  	   	^  	   	   	   	| 	@ 	 59 	               	           	                                      	                                        	                                      	                                                           	
*  	   	*  	   	   	   	| 	@ 	 60 	         41193 	         1 	massy-palaiseau                       	Massy – Palaiseau                       	igny;massy-verrieres                  	longjumeau                                                 	rer-b
|  	   	*  	   	   	   	| 	@ 	 61 	        412833 	         0 	massy-verrieres                       	Massy – Verrières                       	chemin-d-antony                       	massy-palaiseau                                            	rer-b
|  	   	*  	   	   	   	| 	@ 	 62 	         41330 	         0 	chemin-d-antony                       	Chemin d'Antony                         	rungis-la-fraternelle                 	massy-verrieres                                            	
|  	   	*  	   	   	   	| 	@ 	 63 	         41329 	         0 	rungis-la-fraternelle                 	Rungis – La Fraternelle                 	pont-de-rungis-aeroport-d-orly        	chemin-d-antony                                            	tramway-7/la-fraternelle
|  	   	*  	   	   	   	| 	@ 	 64 	         41326 	         1 	pont-de-rungis-aeroport-d-orly        	Pont de Rungis – Aéroport d'Orly        	orly-ville                            	rungis-la-fraternelle                                      	
|  	   	*  	   	   	   	| 	@ 	 65 	         41327 	         0 	orly-ville                            	Orly-Ville                              	les-saules                            	pont-de-rungis-aeroport-d-orly                             	
|  	   	*  	   	   	   	| 	@ 	 66 	         41328 	         0 	les-saules                            	Les Saules                              	choisy-le-roi                         	orly-ville                                                 	tramway-9
|  	   	|  	   	   	   	| 	@ 	 67 	               	           	                                      	                                        	                                      	                                                           	
|  	   	|  	   	   	   	* 	@ 	 68 	         41313 	         0 	choisy-le-roi                         	Choisy-le-Roi                           	les-ardoines                          	les-saules;villeneuve-le-roi                               	tramway-9/rouget-de-lisle
|  	   	|  	.\ 	   	/. 	| 	@ 	 69 	               	           	                                      	                                        	                                      	                                                           	
|  	   	\o 	|  	|  	|  	| 	@ 	 70 	               	           	                                      	                                        	                                      	                                                           	
|  	   	   	   	   	   	* 	@ 	 71 	         41312 	         0 	villeneuve-le-roi                     	Villeneuve-le-Roi                       	choisy-le-roi                         	ablon                                                      	
|  	   	   	   	   	   	* 	@ 	 72 	         41311 	         0 	ablon                                 	Ablon                                   	villeneuve-le-roi                     	athis-mons                                                 	
|  	   	   	   	   	   	* 	@ 	 73 	         41310 	         0 	athis-mons                            	Athis-Mons                              	ablon                                 	juvisy                                                     	
|  	   	   	   	   	   	* 	@ 	 74 	         41309 	         1 	juvisy                                	Juvisy                                  	athis-mons                            	savigny-sur-orge                                           	rer-d
|  	   	   	   	   	   	| 	@ 	 75 	               	           	                                      	                                        	                                      	                                                           	
*  	   	   	   	   	   	| 	@ 	 76 	         41245 	         0 	longjumeau                            	Longjumeau                              	massy-palaiseau                       	chilly-mazarin                                             	
*  	   	   	   	   	   	| 	@ 	 77 	         41247 	         0 	chilly-mazarin                        	Chilly-Mazarin                          	longjumeau                            	gravigny-balizy                                            	
*  	   	   	   	   	   	| 	@ 	 78 	         41248 	         0 	gravigny-balizy                       	Gravigny-Balizy                         	chilly-mazarin                        	petit-vaux                                                 	
*  	   	   	   	   	   	| 	@ 	 79 	         41249 	         0 	petit-vaux                            	Petit Vaux                              	gravigny-balizy                       	savigny-sur-orge                                           	
|  	   	   	   	   	   	| 	@ 	 80 	               	           	                                      	                                        	                                      	                                                           	
|  	   	   	   	   	   	* 	@ 	 81 	         41308 	         0 	savigny-sur-orge                      	Savigny-sur-Orge                        	juvisy;petit-vaux                     	epinay-sur-orge                                            	
|  	.\ 	   	   	   	/. 	| 	@ 	 82 	               	           	                                      	                                        	                                      	                                                           	
\o 	|  	|  	|  	|  	|  	| 	@ 	 83 	               	           	                                      	                                        	                                      	                                                           	
   	   	   	   	   	   	* 	@ 	 84 	         41307 	         0 	epinay-sur-orge                       	Épinay-sur-Orge                         	savigny-sur-orge                      	sainte-genevieve-des-bois                                  	
   	   	   	   	   	   	* 	@ 	 85 	         41306 	         0 	sainte-genevieve-des-bois             	Sainte-Geneviève-des-Bois               	epinay-sur-orge                       	saint-michel-sur-orge                                      	
