   	   	  	   	  	@ 	#  	monitoringRefs 	isTerminus 	slugName                           	displayName                            	prevStops                                      	nextStops                          	lineConnections
|  	   	| 	   	| 	@ 	43 	               	           	                                   	                                       	                                               	                                   	
|  	   	| 	   	| 	@ 	44 	               	           	                                   	                                       	                                               	                                   	
|  	   	* 	   	| 	@ 	45 	         41355 	         0 	essonnes-robinson                  	Essonnes – Robinson                    	corbeil-essonnes                               	villabe                            	
|  	   	* 	   	| 	@ 	46 	         41356 	         0 	villabe                            	Villabé                                	essonnes-robinson                              	le-plessis-chenet                  	
|  	   	* 	   	| 	@ 	47 	         41357 	         0 	le-plessis-chenet                  	Le Plessis-Chenet                      	villabe                                        	le-coudray-montceaux               	
|  	   	* 	   	| 	@ 	48 	         41358 	         0 	le-coudray-montceaux               	Le Coudray-Montceaux                   	le-plessis-chenet                              	saint-fargeau                      	
|  	   	* 	   	| 	@ 	49 	         41388 	         0 	saint-fargeau                      	Saint-Fargeau                          	le-coudray-montceaux                           	ponthierry-pringy                  	
|  	   	* 	   	| 	@ 	50 	         41387 	         0 	ponthierry-pringy                  	Ponthierry – Pringy                    	saint-fargeau                                  	boissise-le-roi                    	
|  	   	* 	   	| 	@ 	51 	         41386 	         0 	boissise-le-roi                    	Boissise-le-Roi                        	ponthierry-pringy                              	vosves                             	
|  	   	* 	   	| 	@ 	52 	         41385 	         0 	vosves                             	Vosves                                 	boissise-le-roi                                	melun                              	
|  	   	| 	   	| 	@ 	53 	               	           	                                   	                                       	                                               	                                   	
|  	   	| 	   	* 	@ 	54 	         41362 	         0 	montgeron-crosne                   	Montgeron – Crosne                     	villeneuve-saint-georges                       	yerres                             	
|  	   	| 	   	* 	@ 	55 	         41363 	         0 	yerres                             	Yerres                                 	montgeron-crosne                               	brunoy                             	
|  	   	| 	   	* 	@ 	56 	         41364 	         0 	brunoy                             	Brunoy                                 	yerres                                         	boussy-saint-antoine               	
|  	   	| 	   	* 	@ 	57 	         41365 	         0 	boussy-saint-antoine               	Boussy-Saint-Antoine                   	brunoy                                         	combs-la-ville-quincy              	
|  	   	| 	   	* 	@ 	58 	         41366 	         1 	combs-la-ville-quincy              	Combs-la-Ville – Quincy                	boussy-saint-antoine                           	lieusaint-moissy                   	
|  	   	| 	   	* 	@ 	59 	         41367 	         0 	lieusaint-moissy                   	Lieusaint – Moissy                     	combs-la-ville-quincy                          	savigny-le-temple-nandy            	
|  	   	| 	   	* 	@ 	60 	         41370 	         0 	savigny-le-temple-nandy            	Savigny-le-Temple – Nandy              	lieusaint-moissy                               	cesson                             	
|  	   	| 	   	* 	@ 	61 	         41368 	         0 	cesson                             	Cesson                                 	savigny-le-temple-nandy                        	le-mee                             	
|  	   	| 	   	* 	@ 	62 	        473989 	         0 	le-mee                             	Le Mée                                 	cesson                                         	melun                              	
|  	   	| 	   	| 	@ 	63 	               	           	                                   	                                       	                                               	                                   	
|  	   	* 	   	* 	@ 	64 	         41361 	         1 	melun                              	Melun                                  	vosves;le-mee                                  	                                   	transilien-r
|  	   	v 	   	v 	@ 	65 	               	           	                                   	                                       	                                               	                                   	
*  	   	  	   	  	@ 	66 	         41348 	         0 	moulin-galant                      	Moulin-Galant                          	corbeil-essonnes                               	mennecy                            	
*  	   	  	   	  	@ 	67 	         41349 	         0 	mennecy                            	Mennecy                                	moulin-galant                                  	ballancourt                        	
*  	   	  	   	  	@ 	68 	         41350 	         0 	ballancourt                        	Ballancourt                            	mennecy                                        	la-ferte-alais                     	
*  	   	  	   	  	@ 	69 	         41351 	         1 	la-ferte-alais                     	La Ferté-Alais                         	ballancourt                                    	boutigny                           	
*  	   	  	   	  	@ 	70 	         41352 	         0 	boutigny                           	Boutigny                               	la-ferte-alais                                 	maisse                             	
*  	   	  	   	  	@ 	71 	         41353 	         0 	maisse                             	Maisse                                 	boutigny                                       	buno-gironville                    	
*  	   	  	   	  	@ 	72 	         41354 	         0 	buno-gironville                    	Buno – Gironville                      	maisse                                         	boigneville                        	
*  	   	  	   	  	@ 	73 	         41395 	         0 	boigneville                        	Boigneville                            	buno-gironville                                	malesherbes                        	
*  	   	  	   	  	@ 	74 	        411484 	         1 	malesherbes                        	Malesherbes                            	boigneville                                    	                                   	
v  	   	  	   	  	@ 	75 	               	           	                                   	                                       	                                               	                                   	
