  	 	   	   	   	@ 	#  	monitoringRefs 	isTerminus 	slugName                                 	displayName                              	prevStops                                       	nextStops                                	lineConnections
| 	 	|  	/. 	|  	@ 	45 	               	           	                                         	                                         	                                                	                                         	
| 	 	|  	|  	o/ 	@ 	46 	               	           	                                         	                                         	                                                	                                         	
| 	 	|  	./ 	   	@ 	47 	               	           	                                         	                                         	                                                	                                         	
| 	 	*  	   	   	@ 	48 	         41170 	         1 	conflans-sainte-honorine                 	Conflans-Sainte-Honorine                 	conflans-fin-d-oise;eragny-neuville             	herblay                                  	
| 	 	*  	   	   	@ 	49 	         41169 	         0 	herblay                                  	Herblay                                  	conflans-sainte-honorine                        	la-frette-montigny                       	
| 	 	*  	   	   	@ 	50 	         41168 	         0 	la-frette-montigny                       	La Frette – Montigny                     	herblay                                         	cormeilles-en-parisis                    	
| 	 	*  	   	   	@ 	51 	         41167 	         1 	cormeilles-en-parisis                    	Cormeilles-en-Parisis                    	la-frette-montigny                              	val-d-argenteuil                         	
| 	 	*  	   	   	@ 	52 	         41161 	         0 	val-d-argenteuil                         	Val d'Argenteuil                         	cormeilles-en-parisis                           	argenteuil                               	
| 	 	|  	   	^  	@ 	53 	               	           	                                         	                                         	                                                	                                         	
| 	 	|  	   	*  	@ 	54 	         41085 	         1 	ermont-eaubonne                          	Ermont – Eaubonne                        	                                                	sannois                                  	rer-c;transilien-h
| 	 	|  	   	*  	@ 	55 	         41096 	         0 	sannois                                  	Sannois                                  	ermont-eaubonne                                 	argenteuil                               	
| 	 	\o 	|  	o/ 	@ 	56 	               	           	                                         	                                         	                                                	                                         	
| 	 	\. 	|  	./ 	@ 	57 	               	           	                                         	                                         	                                                	                                         	
| 	 	   	*  	   	@ 	58 	         41166 	         1 	argenteuil                               	Argenteuil                               	val-d-argenteuil;sannois                        	le-stade                                 	
| 	 	   	*  	   	@ 	59 	         41136 	         0 	le-stade                                 	Le Stade                                 	argenteuil                                      	colombes                                 	
| 	 	   	*  	   	@ 	60 	         41135 	         0 	colombes                                 	Colombes                                 	le-stade                                        	bois-colombes                            	
| 	 	   	*  	   	@ 	61 	         41134 	         0 	bois-colombes                            	Bois-Colombes                            	colombes                                        	asnieres-sur-seine                       	
| 	 	   	*  	   	@ 	62 	         41138 	         0 	asnieres-sur-seine                       	Asnières-sur-Seine                       	bois-colombes                                   	paris-saint-lazare                       	transilien-l
* 	 	   	*  	   	@ 	63 	         41194 	         1 	paris-saint-lazare                       	Paris–Saint-Lazare                       	houilles-carrieres-sur-seine;asnieres-sur-seine 	                                         	metro-3/saint-lazare;metro-12/saint-lazare;metro-13/saint-lazare;metro-14/saint-lazare;metro-9/saint-augustin;rer-a/auber;rer-e/haussmann-saint-lazare;transilien-l
v 	 	   	v  	   	@ 	64 	               	           	                                         	                                         	                                                	                                         	
