   	   	   	@ 	#  	monitoringRefs 	isTerminus 	slugName                     	displayName                    	prevStops                                        	nextStops                          	lineConnections
*  	   	|  	@ 	46 	473988;473987  	         1 	boissy-saint-leger           	Boissy-Saint-Léger             	sucy-bonneuil                                    	                                   	
v  	   	|  	@ 	47 	               	           	                             	                               	                                                 	                                   	
   	   	*  	@ 	48 	474001;474002  	         0 	val-de-fontenay              	Val de Fontenay                	vincennes                                        	neuilly-plaisance                  	rer-e
   	   	*  	@ 	49 	474042;474050  	         0 	neuilly-plaisance            	Neuilly-Plaisance              	val-de-fontenay                                  	bry-sur-marne                      	
   	   	*  	@ 	50 	473974;473973  	         0 	bry-sur-marne                	Bry-sur-Marne                  	neuilly-plaisance                                	noisy-le-grand-mont-d-est          	
   	   	*  	@ 	51 	474041;474032  	         1 	noisy-le-grand-mont-d-est    	Noisy-le-Grand Mont d'Est      	bry-sur-marne                                    	noisy-champs                       	
   	   	*  	@ 	52 	474040;474039  	         0 	noisy-champs                 	Noisy – Champs                 	noisy-le-grand-mont-d-est                        	noisiel                            	
   	   	*  	@ 	53 	474046;474038  	         0 	noisiel                      	Noisiel                        	noisy-champs                                     	lognes                             	
   	   	*  	@ 	54 	473930;473933  	         0 	lognes                       	Lognes                         	noisiel                                          	torcy                              	
   	   	*  	@ 	55 	474005;474008  	         1 	torcy                        	Torcy                          	lognes                                           	bussy-saint-georges                	
   	   	*  	@ 	56 	473961;473960  	         0 	bussy-saint-georges          	Bussy Saint-Georges            	torcy                                            	val-d-europe                       	
   	   	*  	@ 	57 	474003;474004  	         0 	val-d-europe                 	Val d'Europe                   	bussy-saint-georges                              	marne-la-vallee-chessy             	
   	   	*  	@ 	58 	474064;474059  	         1 	marne-la-vallee-chessy       	Marne-la-Vallée – Chessy       	val-d-europe                                     	                                   	
   	   	v  	@ 	59 	               	           	                             	                               	                                                 	                                   	
